"","X1","X2","X3","X4","X5","Y","p","n","region","city","ID_unit","Prob_ 2 _stage","Prob","Probnorm"
"1001",-0.0682973150406812,1.5829645147621,0.576337542876565,-0.083283267017118,-0.403175065295415,1,0.646695763117097,5000,2,2,1001,0.5,0.4,0.00107874865156419
"1002",-1.04510106785489,-0.155859388026636,1.91617018463945,1.08779891385363,-1.18099773296863,0,0.406611995428874,5000,2,2,1002,0.5,0.4,0.00107874865156419
"1003",0.20968165271178,-1.1561458359256,-1.42707620642283,0.346772664599531,-0.393529682739966,0,0.0316671073069061,5000,2,2,1003,0.5,0.4,0.00107874865156419
"1008",-2.91117347923357,0.198753674559014,-0.193675617228975,0.20496255154552,-0.246346322352857,0,0.0189377395213128,5000,2,2,1008,0.5,0.4,0.00107874865156419
"1009",1.00499384542152,0.413750340965374,-0.239847673204855,-0.887821847766539,-1.8810099454931,0,0.0697889842787122,5000,2,2,1009,0.5,0.4,0.00107874865156419
"1010",1.22032732312123,-0.530988771521583,0.79596331369763,-0.626453951035061,0.378911118418624,1,0.559161324420244,5000,2,2,1010,0.5,0.4,0.00107874865156419
"1011",-0.526896928344078,1.30023714340428,-0.506569213335447,1.26137434045921,1.09801849501565,1,0.835643444999521,5000,2,2,1011,0.5,0.4,0.00107874865156419
"1012",0.258445503868867,-0.527045289228342,-1.34573125803479,-0.629422670257234,-0.0859719745094054,0,0.0345653830730655,5000,2,2,1012,0.5,0.4,0.00107874865156419
"1013",-0.661319421845569,0.0237438607333783,0.693317708942331,0.15040557675994,0.783970117933433,0,0.497529480736145,5000,2,2,1013,0.5,0.4,0.00107874865156419
"1014",-0.563007496376799,0.798373152546382,0.665161044229467,-0.236490215476186,0.366172148074893,1,0.507551583984434,5000,2,2,1014,0.5,0.4,0.00107874865156419
"1015",-1.58413974947644,-0.736499829938829,0.500514987347134,-1.13920328138185,0.333163622723879,0,0.0259279370202514,5000,2,2,1015,0.5,0.4,0.00107874865156419
"1016",0.417181123933958,1.50323381177181,0.0128287859555027,-0.976882133917781,-0.719986770513597,0,0.317859717765506,5000,2,2,1016,0.5,0.4,0.00107874865156419
"1004",0.891804696738762,-0.830623822561654,-1.42460037927758,-1.87022291236719,0.445924537250068,0,0.022145688186926,5000,2,2,1004,0.5,0.4,0.00107874865156419
"1059",-0.184969693260613,-0.52087218233901,0.144005628252735,-1.52951690742834,-0.427503309205215,0,0.0287804429746057,5000,2,2,1059,0.5,0.4,0.00107874865156419
